name,platform,year_of_release,genre,sales
Toy Story Racer,PS,2001,Racing,0.08
Disney's Donald Duck: Goin' Quackers,PS,2000,Platform,0.08
Mobile Suit Gundam: Perfect One Year War,PS,1997,Strategy,0
Galerians,PS,1999,Adventure,0.08
Ys: The Oath in Felghana,PSP,2010,Role-Playing,0.09
Crash: Twinsanity,XB,2004,Platform,0.11
We Dance,Wii,2011,Misc,0
Space Camp,DS,2009,Action,0.14
DrumMania,PS2,2000,Simulation,0
Hoppechan: Tsukutte! Asonde! Punipuni Town!!,3DS,2013,Action,0
Yu-Gi-Oh! Nightmare Troubadour (US sales),DS,2005,Action,0.15
SpongeBob's Truth or Square,DS,2009,Action,0.07
Tamagotchi no Narikiri Channel,DS,2009,Role-Playing,0
Arena Football,XB,2006,Sports,0.11
Power Pro Kun Pocket 1+2,GBA,2004,Sports,0
Medal of Honor: Infiltrator,GBA,2003,Shooter,0.11
Skylanders: SuperChargers,Wii,2015,Action,0.02
Blazing Dragons,PS,1996,Adventure,0.08
Lego Star Wars: The Force Awakens,WiiU,2016,Action,0.06
Victorious: Hollywood Arts Debut,DS,2011,Misc,0.13
The Wizard of Oz: Beyond The Yellow Brick Road,DS,2008,Role-Playing,0.13
Baseball Blast!,Wii,2009,Sports,0.14
Super Monkey Ball Deluxe,XB,2005,Misc,0.11
Shin Megami Tensei: Devil Summoner - Soul Hackers,PS,1999,Role-Playing,0
Shin Chan: ¡Aventuras de Cine!,DS,2008,Platform,0
Jurassic: The Hunted,Wii,2009,Shooter,0.14
The Cursed Crusade,X360,2011,Action,0.08
Charm Girls Club: Pajama Party,Wii,2009,Misc,0.14
SpongeBob's Boating Bash,DS,2010,Misc,0.13
Tamagotchi Collection,DS,2011,Misc,0
Earth Defense Force 2025,X360,2013,Shooter,0.06
NHL 2K10,X360,2009,Sports,0.11
White Knight Chronicles: Origins,PSP,2011,Role-Playing,0
Trivial Pursuit: Bet You Know It,Wii,2011,Misc,0.09
Turbo Prop Racing,PS,1997,Racing,0.08
Barbie Superpack: Secret Agent / Groovy Games,GBA,2005,Misc,0.1
Tom Clancy's Ghost Recon,GC,2003,Shooter,0.11
Pac-Man Party 3D,3DS,2011,Misc,0.09
Dance Dance Revolution (North America),PS,2001,Simulation,0.08
Darkstalkers Chronicle: The Chaos Tower,PSP,2004,Fighting,0.13
WWE '13,Wii,2012,Action,0.11
Mad Dash Racing,XB,2001,Racing,0.11
Bakugan Battle Brawlers: Defenders of the Core,X360,2010,Action,0.11
Rayman Origins,3DS,2012,Platform,0.06
Summon Night 5,PSP,2013,Role-Playing,0
MotoGP 2: Ultimate Racing Technology,PS2,2001,Racing,0.07
Black * Rock Shooter: The Game,PSP,2011,Role-Playing,0
BMX XXX,PS2,2002,Sports,0.07
Dragon Ball Z: Idainaru Dragon Ball Densetsu,SAT,1995,Fighting,0
Sonic Advance & Sonic Pinball Party Combo Pack,GBA,2005,Misc,0.1
Boktai: The Sun is in Your Hand,GBA,2003,Role-Playing,0.1
Making History: The Great War,Wii,2010,Strategy,0
Guilty Gear X2 #Reload,XB,2004,Fighting,0.11
Wizardry VII: Gadeia no Houshu,PS,1995,Role-Playing,0
ReCore,XOne,2016,Action,0.08
Soldier of Fortune: Payback,PS3,2007,Shooter,0.12
F1 2012,PC,2012,Racing,0.01
Elf: The Movie,GBA,2004,Action,0.1
MLB SlugFest 20-03,GC,2002,Sports,0.11
Tiger Woods PGA Tour,DS,2004,Sports,0.13
Tamagotchi no Appare! Niji Venture,DS,2007,Role-Playing,0
Ultimate Board Game Collection,Wii,2007,Misc,0.13
Grabbed by the Ghoulies,XB,2003,Action,0.11
Cars: Mater-National Championship,X360,2007,Racing,0.13
Shadow Hearts: From The New World,PS2,2005,Role-Playing,0.07
Rayman Raving Rabbids,DS,2007,Misc,0.13
Terraria,PC,2011,Action,0
Derby Stallion Gold,3DS,2014,Sports,0
CSI: 3 Dimensions of Murder,PS2,2007,Adventure,0.07
Barbarian,PS2,2002,Fighting,0.07
Tennis no Oji-Sama: Aim at The Victory!,GBA,2002,Sports,0
L.A. Rush,XB,2005,Racing,0.11
Rubik's World,Wii,2008,Puzzle,0.12
Record of Agarest War 2,PS3,2010,Role-Playing,0.09
QuickSpot,DS,2006,Misc,0.01
"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994,Role-Playing,0
Pipe Dreams 3D,PS,2001,Puzzle,0.08
Skylanders Giants,3DS,2012,Action,0.12
Spider-Man: Friend or Foe,Wii,2007,Action,0.13
Fox Sports Golf '99,PS,1997,Sports,0.08
Power Rangers: Super Legends,PS2,2007,Action,0.07
Jurassic: The Hunted,PS2,2009,Shooter,0.07
Sakura Wars GB,GB,2000,Adventure,0
Shining Force CD,SCD,1994,Strategy,0
Fatal Frame,PS2,2001,Action,0.07
Rayman 3,GBA,2003,Platform,0.1
The Fifth Element,PS,1998,Action,0.08
BlazBlue: Chrono Phantasma Extend,PS4,2015,Action,0.07
Okaeri! Chibi-Robo! Happy Richie Oosouji,DS,2009,Adventure,0
Wild ARMs 4,PS2,2005,Role-Playing,0.07
Ratatouille,GC,2007,Action,0.11
G.I. Joe: The Rise of Cobra,PS2,2009,Action,0.11
Casper: Spirit Dimensions,PS2,2001,Platform,0.07
Super Robot Taisen OG Saga: Endless Frontier (JP sales),DS,2008,Role-Playing,0
Sengoku Musou 3 Empires,PS3,2011,Action,0
Thunder Truck Rally,PS,1997,Racing,0.08
Klonoa: Empire of Dreams,GBA,2001,Platform,0.1
SafeCracker: The Ultimate Puzzle Adventure,DS,2009,Puzzle,0.07
Geometry Wars: Galaxies,DS,2007,Shooter,0.13
Famista Returns,3DS,2015,Sports,0
Syndicate,PS3,2012,Shooter,0.07
Adrenalin Misfits,X360,2010,Racing,0.12
Karaoke Revolution Glee: Volume 3,X360,2011,Misc,0.13
Cave Story 3D,3DS,2011,Platform,0.09
Iron & Blood,PS,1996,Fighting,0.08
Mega Man Powered Up,PSP,2006,Platform,0.12
Balloon Pop,DS,2009,Puzzle,0.13
Class of Heroes,PSP,2008,Role-Playing,0.06
Second Sight,PS2,2004,Adventure,0.07
Heroes of Mana,DS,2007,Strategy,0.07
Alien: Isolation,PC,2014,Shooter,0
G.I. Joe: The Rise of Cobra,PSP,2009,Action,0.11
Just Cause 3,PC,2015,Action,0.03
Monster House,PS2,2006,Adventure,0.07
Phantom Brave,PS2,2004,Role-Playing,0.07
Thor: God of Thunder,X360,2011,Action,0.09
Championship Motocross 2001 featuring Ricky Carmichael,PS,2001,Racing,0.08
Kenka Banchou 5: Otoko no Housoku,PSP,2011,Action,0
Bejeweled 3,PS3,,Puzzle,0.13
Doshin the Giant,GC,2002,Simulation,0
Star Ocean: Blue Sphere,GB,2001,Role-Playing,0
Shrek 2 and Shark Tale 2-in-1 Pack,GBA,2005,Misc,0.1
Mojo!,PS2,2003,Puzzle,0.07
Kamen Rider Ryuki,PS,2002,Action,0
Front Mission Alternative,PS,1997,Strategy,0
World Championship Poker: Howard Lederer - All In,PSP,2006,Misc,0.13
FIFA Soccer 2005,GC,2004,Sports,0.11
Harvest Moon: Hero of Leaf Valley,PSP,2009,Simulation,0.07
Diner Dash: Flo on the Go,DS,2009,Puzzle,0.13
Hexyz Force,PSP,2009,Role-Playing,0.07
Power Stone,DC,1998,Fighting,0
Jonny Moseley Mad Trix,PS2,2001,Sports,0.07
Uta no * Prince-Sama: Repeat,PSP,2011,Adventure,0
Senran Kagura Burst: Guren no Sh?jo-tachi,3DS,2012,Action,0
MTV Music Generator 3: This Is the Remix,PS2,2004,Misc,0.07
Cake Mania 3,DS,2009,Simulation,0.13
Zetta Hero Project: Unlosing Ranger vs. Darkdeath Evilman,PSP,2010,Role-Playing,0.07
Gundam Breaker 2,PS3,2014,Action,0
.hack//Link,PSP,2010,Role-Playing,0
Terminator 3: Rise of the Machines,XB,2003,Action,0.11
SSX On Tour,XB,2005,Sports,0.11
NCAA College Basketball 2K3,XB,2002,Sports,0.11
Victorious Boxers: Revolution,Wii,2007,Fighting,0.07
Farming Simulator 2013,PS3,2013,Simulation,0
The Legend of Heroes II: Prophecy of the Moonlight Witch,PSP,2004,Role-Playing,0.03
Doom,GBA,2001,Shooter,0.1
Hidden Mysteries: Salem Secrets - Witch Trials of 1692,DS,2010,Puzzle,0.09
Mary-Kate and Ashley: Winners Circle,PS,2001,Action,0.08
Jewel Quest Solitaire,DS,2009,Puzzle,0
PaRappa The Rapper 2,PS2,2001,Misc,0.07
OutRun 2,XB,2004,Racing,0.11
Okami,PS3,2012,Action,0
Marvel vs. Capcom 2: New Age of Heroes,DC,2000,Fighting,0
Super Dodgeball Brawlers,DS,2008,Sports,0.13
NFL Head Coach 09,PS3,2008,Sports,0.13
Hitman: Blood Money,XB,2006,Action,0.11
Soukaigi,PS,1998,Role-Playing,0
PANGYA: Fantasy Golf,PSP,2009,Sports,0.09
Fast Food Panic,DS,2010,Simulation,0.13
Pipe Mania,PS2,2008,Puzzle,0.07
Xevious 3D/G+,PS,1997,Shooter,0.01
Metal Gear Solid V: Ground Zeroes,X360,2014,Action,0.07
Gretzky NHL 06,PSP,2005,Sports,0.13
Shonen Jump's Shaman King: Master of Spirits,GBA,2004,Role-Playing,0.1
Kid Adventures: Sky Captain,Wii,2010,Action,0.09
NFL Blitz 20-03,XB,2002,Sports,0.11
PaRappa The Rapper,PSP,2006,Misc,0.11
Pirates: The Legend of Black Kat,PS2,2002,Adventure,0.07
Fur Fighters: Viggo's Revenge,PS2,2001,Action,0.07
Thor: God of Thunder,PS3,2011,Action,0.07
Krull,2600,1982,Action,0.13
The Walking Dead: Season One,PSV,2013,Adventure,0.1
Yu-Gi-Oh! Monster Capture GB,GB,2000,Role-Playing,0
Zapper: One Wicked Cricket!,GBA,2002,Platform,0.1
Skylanders Imaginators,PS4,2016,Platform,0.04
"NewU Fitness First Mind Body, Yoga & Pilates Workout",Wii,2010,Sports,0.12
The Da Vinci Code,PS2,2006,Action,0.07
Scooby-Doo! Night of 100 Frights,XB,2003,Platform,0.11
Naruto Shippuden: Ninja Destiny 3,DS,2006,Fighting,0
Ford Racing Off Road,PSP,2008,Racing,0.05
Chicken Shoot,DS,2007,Action,0.13
Dead to Rights,GC,2002,Shooter,0.11
Scarface: The World is Yours,Wii,2007,Action,0.12
Top Spin 4,Wii,2011,Sports,0.04
Sphinx and the Cursed Mummy,GC,2003,Action,0.11
Disney's Planes,Wii,2013,Simulation,0.07
MX vs. ATV Reflex,DS,2009,Racing,0.13
Hero's Saga Laevatein Tactics,DS,2008,Role-Playing,0.13
Cabela's Outdoor Adventures (2009),PS2,2009,Sports,0.07
Cranium Kabookii,Wii,2007,Misc,0.13
T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,PS,1998,Adventure,0.08
Active Life Explorer,Wii,2010,Sports,0.13
XCOM 2,PS4,2016,Strategy,0.04
Naruto RPG 2: Chidori vs Rasengan,DS,2005,Role-Playing,0
Our House Party!,Wii,,Simulation,0.13
Pro Evolution Soccer 2015,XOne,2014,Sports,0.03
Project V6,PS,1998,Strategy,0
Destruction Derby Raw,PS,2000,Racing,0.08
Risen 2: Dark Waters,X360,2012,Role-Playing,0.05
World Tour Soccer 2003,PS2,2002,Sports,0.07
Akiba's Trip,PSP,2011,Adventure,0
Arctic Tale,DS,2007,Adventure,0.13
Bravo Air Race,PS,1997,Racing,0.08
Onimusha Essentials,PS2,2008,Action,0.07
Gundam: The Battle Master,PS,1997,Fighting,0
Ben 10 Galactic Racing,3DS,2011,Racing,0.07
ArmA II,PC,2009,Shooter,0
WWE 2K17,PS3,2016,Sports,0.05
Spyro: A Hero's Tail,XB,2004,Platform,0.11
¡Shin Chan Flipa en colores!,DS,2007,Platform,0
Cities: Skylines,PC,2015,Simulation,0
Drawn to Life Collection,DS,2010,Misc,0.13
Eternal Poison,PS2,2008,Role-Playing,0.07
Gretzky NHL 06,PS2,2005,Sports,0.07
Gungrave: Overdose,PS2,2004,Shooter,0.07
Metal Slug Anthology,Wii,2006,Shooter,0.12
Kidou Senshi Gundam: Shin Gihren no Yabou,PSP,2011,Strategy,0
The Orange Box,PC,2007,Shooter,0
Shovel Knight,3DS,2015,Platform,0.08
Pro Evolution Soccer 2015,X360,2014,Sports,0.05
NBA ShootOut 2002,PS,2001,Sports,0.08
The Granstream Saga,PS,1997,Role-Playing,0.08
Power Gig: Rise of the SixString,PS3,2010,Misc,0.13
Mr. Driller: Drill Spirits,DS,2004,Puzzle,0.08
Bio FREAKS,N64,1998,Action,0.11
Bassmasters 2000,N64,1999,Sports,0.11
WCW Backstage Assault,N64,,Action,0.11
Micro Machines 64 Turbo,N64,1999,Racing,0.11
Baldur's Gate: Dark Alliance,GC,2002,Role-Playing,0.11
"Holy Invasion of Privacy, Badman! What Did I Do to Deserve This?",PSP,2007,Role-Playing,0
Eternal Eyes,PS,1999,Role-Playing,0.08
The Walking Dead: Season Two,XOne,2014,Adventure,0.08
Dream Pinball 3D,Wii,2008,Misc,0.1
Fate/Unlimited Codes,PS2,2008,Fighting,0
Star Wars: Knights of the Old Republic,PC,2003,Role-Playing,0.01
The Operative: No One Lives Forever,PS2,2002,Shooter,0.07
Gallop & Ride!,Wii,2008,Sports,0.13
Epidemic,PS,1995,Shooter,0.02
Monster House,GC,2006,Adventure,0.11
Backyard Sports: Sandlot Sluggers,DS,2010,Sports,0.13
Dead or Alive 2,DC,2000,Fighting,0
Buck Fever,Wii,2009,Sports,0.13
Monster Hunter Diary: Poka Poka Airou Village DX,3DS,2015,Action,0
Cabela's African Safari,X360,2006,Sports,0.13
NCAA Basketball Final Four 97,PS,1997,Sports,0.08
Ecco the Dolphin: Defender of the Future,PS2,2002,Adventure,0.07
Atari's Greatest Hits: Volume 1,DS,2010,Misc,0.13
The Bombing Islands,PS,1997,Platform,0.08
Yogi Bear: The Video Game,DS,2010,Action,0.1
Earth Defense Force 2: Invaders from Planet Space,PSP,2011,Action,0
Just Cause,X360,2006,Action,0.1
Hot Wheels: Beat That!,Wii,2007,Racing,0.13
X-Blades,X360,2009,Action,0.1
Odin Sphere: Leifthrasir,PSV,2016,Role-Playing,0.02
Homefront: The Revolution,XOne,2016,Shooter,0.06
Gyakuten Saiban 2,GBA,2002,Action,0
Godzilla: Save the Earth,XB,2004,Fighting,0.1
Micro Machines,PS2,2002,Racing,0.07
TRINITY: Souls of Zill O'll,PS3,2010,Role-Playing,0.06
Detective Barbie: The Mystery Cruise,PS,1999,Adventure,0.08
Jim Henson's the Muppets: On With the Show!,GBA,2003,Action,0.1
Desire,SAT,1997,Adventure,0
Asphalt: Urban GT 2,DS,2006,Racing,0.09
Pro Yaky? Spirits 2014,PS3,2014,Sports,0
Virtua Tennis 4,Wii,2011,Sports,0.05
Tim Burton's The Nightmare Before Christmas: The Pumpkin King,GBA,2005,Platform,0.1
Frank Thomas Big Hurt Baseball,PS,1996,Sports,0.08
Power Pro Kun Pocket 8,DS,2005,Sports,0
Enclave,XB,2002,Adventure,0.11
Sid Meier's Pirates!,XB,2005,Strategy,0.11
Wild ARMs XF,PSP,2007,Role-Playing,0.07
Bottom of the 9th,PS,1996,Sports,0.08
7 Days to Die,PS4,2016,Action,0.04
Rayman Legends,PSV,2014,Platform,0.01
Dino Crisis 3,XB,2003,Action,0.08
NFL Blitz 20-03,GC,2002,Sports,0.11
The King of Fighters '94 (CD),NG,1993,Fighting,0
Horse Life Adventures,Wii,2008,Simulation,0.12
College Hoops 2K8,PS3,2007,Sports,0.13
Risen,PC,2009,Role-Playing,0
Barbie Explorer,PS,2001,Platform,0.08
Disney's Chicken Little,XB,2005,Platform,0.1
Transformers: Devastation,XOne,2015,Action,0.09
The Darkness II,PC,2012,Shooter,0.1
Age of Empires: Collector's Edition,PC,2000,Strategy,0.02
Agile Warrior F-111X,PS,1995,Simulation,0.08
Jikkyou Powerful Pro Yakyuu Wii,Wii,2007,Sports,0
Eragon,X360,2006,Action,0.12
Dynasty Warriors 7: Empires,PS3,2012,Action,0
Super Puzzle Fighter II Turbo,PS,1996,Puzzle,0.08
Star Wars: Jedi Power Battles,GBA,2002,Action,0.1
Scene It? Bright Lights! Big Screen!,Wii,2009,Misc,0.13
Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,GC,2002,Fighting,0.04
Bejeweled 3,X360,,Puzzle,0.13
Space Venus starring Morning Musume,PS2,2001,Misc,0
To Heart,PS,1999,Adventure,0
Let's Cheer,X360,2011,Misc,0.12
RockMan & Forte,SNES,1998,Platform,0
Doukyuusei,TG16,1995,Adventure,0
Dead Island Definitive Collection,PS4,2016,Action,0.03
Dragon Age: Origins - Ultimate Edition,PC,2010,Role-Playing,0
MySims Collection,Wii,2010,Misc,0.13
Master Jin Jin's IQ Challenge,DS,2006,Misc,0.13
Blazing Angels 2: Secret Missions of WWII,X360,2007,Simulation,0.11
The History Channel: Civil War - A Nation Divided,X360,2006,Shooter,0.13
Rayman Arena,GC,2002,Racing,0.11
FIFA 06 Soccer,GC,2005,Sports,0.11
DmC: Devil May Cry,XOne,2015,Action,0.08
How to Train Your Dragon,X360,2010,Action,0.11
Farming Simulator 2012,3DS,2012,Action,0
4x4 EVO 2,GC,2002,Racing,0.11
Pro Yakyuu Netsu Star 2006,PS2,2006,Sports,0
Battlefield: Hardline,PC,2015,Shooter,0
Cyber Sled,PS,1995,Action,0
Puyo Puyo!! 20th Anniversary,DS,2011,Puzzle,0
Shining Soul,GBA,2002,Role-Playing,0.03
Brothers: A Tale of Two Sons,PS4,2015,Adventure,0.03
Monster Lab,DS,2008,Role-Playing,0.12
In the Hunt,PS,1995,Shooter,0.03
Daytona USA Championship Circuit Edition,SAT,1995,Racing,0
Marvel vs. Capcom 2: New Age of Heroes,XB,2002,Fighting,0.09
SNK vs. Capcom: The Match of the Millennium,PS2,2006,Fighting,0
Dead Rising 2,PC,2010,Action,0.1
Paws & Claws: Pet Vet 2,DS,2007,Simulation,0.13
Ape Escape Academy (jp sales),PSP,2004,Misc,0
Fear Factor: Unleashed,GBA,2004,Action,0.1
Hard Rock Casino,PSP,2007,Misc,0.12
Robots,DS,2005,Action,0.12
Houshinengi,PS,1998,Strategy,0
7th Dragon,DS,2009,Role-Playing,0
Bust-A-Move Deluxe,PSP,2006,Puzzle,0.13
Murdered: Soul Suspect,PS3,2014,Action,0.05
Pet Pals: Animal Doctor,Wii,2008,Simulation,0.13
LEGO Island Xtreme Stunts,GBA,2002,Racing,0.1
Shining Resonance,PS3,2014,Role-Playing,0
Heroes over Europe,X360,2009,Simulation,0.1
Alvin and the Chipmunks,DS,2007,Misc,0.12
Create,X360,2010,Action,0.1
World Soccer Winning Eleven 9 Bonus Pack,PS2,2006,Sports,0
UEFA Euro 2004: Portugal,PS2,2004,Sports,0.07
Happy Feet,Wii,2006,Action,0.12
Hot Wheels: World Race,GBA,2003,Racing,0.1
Major League Baseball 2K8,Wii,2008,Sports,0.13
Lips: I Love The 80s,X360,2010,Misc,0
NBA Jam,XB,2003,Sports,0.1
World Tour Soccer 2002,PS2,2001,Sports,0.07
NBA Ballers: Chosen One,PS3,2008,Sports,0.12
Nicktoons: MLB,Wii,2011,Sports,0.13
NCIS,X360,2011,Adventure,0.1
Travel Games For Dummies,DS,2008,Misc,0.12
Interactive Sampler Disc 6,PS,1997,Misc,0.08
Shinobido 2: Tales of the Ninja,PSV,2011,Action,0.04
Apex,XB,2003,Racing,0.1
Kamen Rider Battle: Ganbaride,DS,2010,Strategy,0
Persona 4: Arena Ultimax,PS3,2014,Fighting,0
Tomb Raider: The Prophecy,GBA,2002,Action,0.1
Vampire Night,PS2,2001,Shooter,0.07
Valhalla Knights: Eldar Saga,Wii,2009,Role-Playing,0.1
Guilty Gear,PS,1998,Fighting,0.03
Rio,PS3,2011,Misc,0.04
Scene It? Bright Lights! Big Screen!,X360,2009,Misc,0.12
World Championship Poker 2: Featuring Howard Lederer,PSP,2005,Misc,0.12
BIT.TRIP SAGA,3DS,2011,Misc,0.09
Mary-Kate and Ashley: Crush Course,PS,2001,Action,0.08
NHL Breakaway 98,PS,1996,Sports,0.08
Where the Wild Things Are,DS,2009,Platform,0.12
Metal Slug 7,DS,2008,Shooter,0.12
Call of Duty: Infinite Warfare,PC,2016,Shooter,0.04
Disney's Cinderella: Magical Dreams,GBA,,Platform,0.1
MotoGP '06,X360,2006,Racing,0.11
Tiger Woods PGA Tour 2005,GC,2004,Sports,0.1
G.I. Joe: The Rise of Cobra,DS,2009,Action,0.11
Spider-Man: Edge of Time,DS,2011,Action,0.12
Gourmet Chef: Cook Your Way to Fame,DS,2008,Misc,0.13
Fashion Studio: Paris Collection,DS,2009,Misc,0.13
Salt Lake 2002,PS2,2002,Sports,0.07
ESPN MLB Baseball,XB,2004,Sports,0.1
Gladius,XB,2003,Strategy,0.1
Legends of Wrestling,XB,2002,Fighting,0.1
Queen's Gate: Spiral Chaos,PSP,2011,Role-Playing,0
Nayuta no Kiseki,PSP,2012,Action,0
Magnetica,DS,2006,Puzzle,0.08
Red Orchestra 2: Heroes of Stalingrad,PC,2011,Shooter,0.04
Spy Hunter 2,XB,2003,Racing,0.1
Open Season,DS,2006,Platform,0.12
Avatar: The Last Airbender - The Burning Earth,X360,2007,Action,0.11
LEGO The Lord of the Rings,DS,2012,Action,0
Backyard Soccer,PS,2001,Sports,0.07
Imagine: Fashion Stylist,DS,2010,Simulation,0.13
Final Fantasy XI: Rise of the Zilart,PS2,2003,Role-Playing,0
Your Shape: Fitness Evolved 2013,WiiU,2012,Action,0.06
Monster Jam,DS,2007,Racing,0.12
James Bond 007: Nightfire,GBA,2003,Shooter,0.1
Let's Play Ballerina,DS,2010,Sports,0.13
Nobunaga no Yabou: Tendou,PS3,2010,Strategy,0
Back At The Barnyard: Slop Bucket Games,DS,2008,Sports,0.12
Medalot 7,3DS,2012,Action,0
Bio FREAKS,PS,1998,Action,0.07
Little League World Series Baseball 2009,DS,2009,Sports,0.12
Castlevania Chronicles,PS,2001,Platform,0.07
Suzumiya Haruhi no Tomadoi,PS2,2008,Adventure,0
International Cricket 2010,X360,2010,Sports,0
GoldenEye 007 (2010),DS,2010,Action,0.1
Bratz,GBA,2002,Platform,0.1
Pinball Hall of Fame: The Gottlieb Collection,Wii,2006,Misc,0.12
King Arthur,PS2,2004,Action,0.07
FIFA Street 2,PSP,2006,Sports,0.07
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 1: CR Shinseiki Evangelion,PS2,2005,Misc,0
The Guy Game,PS2,2004,Misc,0.07
Rurouni Kenshin: Enjou! Kyoto Rinne,PS2,2006,Action,0
Blade II,XB,2002,Action,0.1
Rogue Warrior,PS3,2009,Shooter,0.11
Suikoden: Tsumugareshi Hyakunen no Toki,PSP,2012,Role-Playing,0
Baseball Advance,GBA,2002,Sports,0.1
Nicktoons: MLB,X360,2011,Sports,0.12
Shonen Jump's One Piece: Grand Battle,PS2,2005,Fighting,0.07
Learn Math,DS,2009,Puzzle,0.12
Nitrobike,Wii,2008,Racing,0.11
Cruise Ship Vacation Games,Wii,2009,Puzzle,0.12
Pro Yaky? Spirits 6,PS2,2009,Sports,0
Paperboy / Rampage,GBA,2005,Misc,0.1
Shiren the Wanderer 4 - God's Eye and the Demon's Navel,DS,2010,Role-Playing,0
Vampire Moon: The Mystery of the Hidden Sun,DS,2010,Adventure,0.12
Sentou Kokka Air Land Battle,PS,1995,Strategy,0
Quick Yoga Training,DS,2008,Misc,0.12
Attack on Titan (KOEI),PSV,2016,Action,0
NTRA Breeders' Cup World Thoroughbred Championships,PS2,2005,Simulation,0.07
Hulk Hogan's Main Event,X360,2011,Fighting,0.1
Tak 2: The Staff of Dreams,XB,2004,Platform,0.1
Destroy All Humans! Big Willy Unleashed,Wii,2008,Action,0.12
Retro Atari Classics,DS,2005,Misc,0.12
Imagine: Fashion Designer,3DS,2011,Simulation,0.1
Need for Speed Underground 2,DS,2005,Racing,0.11
My Spanish Coach,PSP,2008,Misc,0.12
Ys: The Ark of Napishtim,PS2,2005,Role-Playing,0.07
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,2016,Action,0
Dragon Age Origins: Awakening,PC,2010,Role-Playing,0.01
Azure Dreams,PS,1997,Role-Playing,0.07
Divinity II: The Dragon Knight Saga,X360,2010,Role-Playing,0.11
SingStar Latino,PS2,2007,Misc,0.07
Kung Fu Panda 2,Wii,2011,Action,0.07
NHL 2K8,X360,2007,Sports,0.11
Pro Baseball Spirits 2015,PSV,2015,Action,0
Haunted House,Wii,2010,Action,0.12
Top Spin 3,DS,2008,Action,0.11
Syberia,DS,2008,Action,0.1
Kurt Warner's Arena Football Unleashed,PS,2000,Sports,0.07
Puzzle Kingdoms,DS,2009,Puzzle,0.12
Hyperdimension Neptunia,PSV,2013,Role-Playing,0.05
Life is Strange,XOne,2016,Adventure,0.09
Suite PreCure: Melody Collection,DS,2011,Misc,0
NHL 2K9,PS2,2008,Sports,0.07
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,PS2,2008,Role-Playing,0.07
Rogue Ops,XB,2003,Action,0.1
NBA Hoopz,PS,2001,Sports,0.07
Transworld Surf,XB,,Sports,0.1
History Civil War: Secret Missions,X360,2008,Shooter,0.12
MLB 11: The Show,PS2,2011,Sports,0.06
Castrol Honda Superbike Racing,PS,1998,Racing,0.07
X-Blades,PS3,2009,Action,0.07
Teenage Mutant Ninja Turtles: Danger of the Ooze,3DS,2014,Adventure,0.08
Army Men: Green Rogue,PS2,2001,Action,0.06
Chessmaster,XB,2004,Misc,0.1
Brain Assist,DS,2007,Misc,0.12
Freddi Fish: ABC under the sea,DS,2008,Misc,0.12
Adventures to Go!,PSP,2008,Role-Playing,0.11
Monster Rancher DS,DS,2008,Role-Playing,0.08
Peter Jackson's King Kong: The Official Game of the Movie,DS,2005,Action,0.12
Superman: The Man of Steel,XB,2002,Action,0.1
Kororinpa: Marble Mania,Wii,2006,Puzzle,0.08
Ken to Mahou to Gakuen Mono. 3,PSP,2010,Role-Playing,0
The Flintstones: Bedrock Bowling,PS,2000,Sports,0.07
NHL 2003,GC,2002,Sports,0.1
Chicken Run,PS,2000,Adventure,0.07
Injustice: Gods Among Us,PSV,2013,Fighting,0.09
Fatal Inertia,X360,2007,Racing,0.12
Over the Hedge: Hammy Goes Nuts!,DS,2006,Platform,0.12
Phantom Brave: We Meet Again,Wii,2009,Role-Playing,0.12
NHL 2K9,PS3,2008,Sports,0.11
Shining Force III,SAT,1997,Strategy,0
Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PSP,2011,Sports,0
Tales of the Heroes: Twin Brave,PSP,2012,Role-Playing,0
WWE Survivor Series,GBA,2004,Fighting,0.09
Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS 2,DS,2006,Action,0
Kung-Fu: High Impact,X360,2011,Action,0.08
Euro Truck Simulator 2,PC,2012,Action,0
Bakugan: Battle Trainer,DS,2010,Action,0.12
Super Robot Wars BX,3DS,2015,Action,0
Tomb Raider: Legend,XB,2006,Action,0.1
Nagano Winter Olympics '98,PS,1997,Sports,0.07
I Spy: Universe,DS,2010,Puzzle,0.12
Ninjatown,DS,2008,Strategy,0.12
Warcraft III: Reign of Chaos,PC,2002,Strategy,0.03
Winning Post 5,PS2,2001,Sports,0
Frogger Beyond,GC,2002,Platform,0.1
Lord of the Rings: Tactics,PSP,2005,Strategy,0.11
RPG Maker II,PS2,2002,Role-Playing,0.06
The Oregon Trail,3DS,2011,Simulation,0.12
Alone in the Dark: Inferno,PS3,2008,Adventure,0.09
TRON: Evolution,PSP,2010,Action,0.1
Gravity Rush Remastered,PS4,2015,Action,0.02
Destruction Derby Arenas,PS2,2004,Racing,0.06
Dengeki Bunko Fighting Climax,PSV,2014,Fighting,0.04
